,location,date,time,harassment_type,reported_by,description
6979,"Edinburgh, UK",2021-12-29,20:12:14,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
6980,"Wollongong, Australia",2022-09-23,12:37:28,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
6981,"Thane, India",2021-08-18,04:11:35,kidnapping,non-victim,The victim was forcefully taken and held for ransom.
6982,"Nagoya, Japan",2023-07-23,16:32:51,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
6983,"Gwalior, India",2021-03-12,11:35:19,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
6984,"Montpellier, France",2022-09-03,06:01:50,burglary,non-victim,The victim reported unauthorized entry into their apartment.
6985,"Pune, India",2022-12-07,15:46:09,counterfeiting,victim,A large batch of fake identification documents was seized.
6986,"Paris, France",2020-04-15,05:31:06,counterfeiting,victim,Fake currency notes were found in a local shop.
6987,"Nantes, France",2022-10-17,14:02:35,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
6988,"Jaipur, India",2021-04-16,08:00:55,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
6989,"Hubli-Dharwad, India",2021-09-03,14:50:02,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
6990,"Pimpri-Chinchwad, India",2022-02-22,17:19:40,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
6991,"Sheffield, UK",2021-09-29,05:38:54,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
6992,"Hyderabad, India",2024-04-17,07:13:50,sexual_assault,non-victim,The victim was harassed in a public place by an unknown person.
6993,"Liverpool, UK",2024-03-03,03:30:32,traffic_violation,non-victim,A suspect was fined for reckless driving.
6994,"Nagoya, Japan",2020-09-06,19:52:09,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
6995,"Liverpool, UK",2025-01-23,07:00:29,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
6996,"San Diego, USA",2022-07-24,03:37:03,shoplifting,victim,A suspect was caught stealing items from a retail store.
6997,"San Diego, USA",2021-10-10,00:55:51,arson,victim,"A building was deliberately set on fire, causing significant damage."
6998,"San Diego, USA",2024-06-24,16:41:07,shoplifting,victim,Store security apprehended an individual for shoplifting.
6999,"Surat, India",2020-05-21,04:01:55,homicide,non-victim,A suspect was arrested in connection with a murder case.
7000,"Visakhapatnam, India",2023-01-16,11:35:04,shoplifting,victim,A suspect was caught stealing items from a retail store.
7001,"Perth, Australia",2024-02-06,14:39:34,fraud,non-victim,The victim was scammed into transferring money to a fake account.
7002,"Aurangabad, India",2021-07-15,09:06:23,counterfeiting,non-victim,A large batch of fake identification documents was seized.
7003,"Bhopal, India",2024-12-07,11:34:34,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
7004,"Kyoto, Japan",2024-12-19,23:12:39,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
7005,"Dhanbad, India",2024-12-22,13:19:49,public_intoxication,victim,An intoxicated person caused a disturbance in a public place.
7006,"Strasbourg, France",2024-03-07,14:27:21,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
7007,"Meerut, India",2020-11-03,10:37:42,burglary,victim,Burglars were caught on CCTV entering a local business at night.
7008,"Kanpur, India",2024-09-12,10:57:38,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
7009,"Toulouse, France",2024-05-13,18:33:43,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
7010,"Howrah, India",2023-11-10,01:52:48,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
7011,"Paris, France",2021-09-18,09:42:50,fraud,non-victim,A business reported fraudulent transactions in their records.
7012,"Allahabad, India",2023-03-26,17:12:27,counterfeiting,victim,A large batch of fake identification documents was seized.
7013,"Logan City, Australia",2024-01-26,14:10:26,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
7014,"San Antonio, USA",2021-12-10,09:49:25,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
7015,"Chicago, USA",2020-01-27,22:20:52,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
7016,"Raipur, India",2024-10-27,14:55:16,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
7017,"Newcastle, Australia",2024-05-12,09:23:19,identity_theft,victim,An individual’s identity was stolen for online fraud.
7018,"Vadodara, India",2024-01-20,09:17:41,robbery,non-victim,A suspect threatened the victim and stole their belongings.
7019,"Logan City, Australia",2020-11-14,10:11:54,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
7020,"Kawasaki, Japan",2020-06-02,20:14:16,burglary,victim,The victim reported unauthorized entry into their apartment.
7021,"Chennai, India",2022-05-15,21:55:00,fraud,non-victim,The victim was scammed into transferring money to a fake account.
7022,"Jodhpur, India",2020-04-21,23:06:13,robbery,victim,The victim was attacked and had their wallet taken by force.
7023,"Chandigarh, India",2021-02-17,16:58:12,drug_offense,victim,An individual was found in possession of narcotics during a search.
7024,"Saitama, Japan",2022-04-09,13:13:53,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
7025,"Kalyan-Dombivli, India",2025-01-05,19:59:00,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
7026,"Gold Coast, Australia",2022-10-23,19:03:45,homicide,victim,A suspect was arrested in connection with a murder case.
7027,"Phoenix, USA",2024-01-11,12:50:52,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
7028,"Thane, India",2020-10-19,06:02:09,traffic_violation,non-victim,A suspect was fined for reckless driving.
7029,"Chicago, USA",2021-04-22,05:01:08,cybercrime,victim,Personal data was stolen through an online scam.
7030,"Vadodara, India",2021-12-11,13:55:17,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
7031,"Fukuoka, Japan",2022-06-15,12:43:33,traffic_violation,victim,A driver was caught speeding in a restricted area.
7032,"Guwahati, India",2020-11-01,10:55:13,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
7033,"Gwalior, India",2022-06-05,07:43:14,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
7034,"Glasgow, UK",2021-12-08,08:35:41,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
7035,"Tokyo, Japan",2020-09-21,17:47:08,vandalism,non-victim,Public property was defaced with graffiti and damage.
7036,"Jodhpur, India",2020-02-25,17:19:06,arson,victim,"A building was deliberately set on fire, causing significant damage."
7037,"Gwalior, India",2021-03-14,02:53:43,fraud,non-victim,A business reported fraudulent transactions in their records.
7038,"Saitama, Japan",2022-05-10,22:28:48,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
7039,"Sydney, Australia",2024-12-26,14:47:21,identity_theft,victim,A suspect was caught using someone else’s credentials illegally.
7040,"San Diego, USA",2022-06-23,19:03:30,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
7041,"Wollongong, Australia",2022-01-01,18:06:37,traffic_violation,non-victim,A suspect was fined for reckless driving.
7042,"Allahabad, India",2020-09-02,19:05:40,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
7043,"Kota, India",2022-08-07,05:04:34,fraud,non-victim,A suspect created false documents to claim financial benefits.
7044,"Jabalpur, India",2024-12-29,23:18:57,homicide,victim,A suspect was arrested in connection with a murder case.
7045,"Sapporo, Japan",2022-02-03,02:23:04,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
7046,"Bhopal, India",2022-03-28,18:52:46,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
7047,"Vijayawada, India",2024-07-30,04:20:36,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
7048,"Fukuoka, Japan",2022-07-17,20:13:07,counterfeiting,victim,Fake currency notes were found in a local shop.
7049,"Dallas, USA",2023-07-09,01:47:20,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
7050,"Sydney, Australia",2022-10-10,22:08:05,fraud,victim,A suspect created false documents to claim financial benefits.
7051,"Chicago, USA",2021-10-13,12:49:16,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
7052,"Leeds, UK",2022-10-17,16:43:07,assault,victim,A suspect punched and kicked the victim during an altercation.
7053,"Philadelphia, USA",2025-01-18,14:05:54,domestic_violence,victim,The victim reported repeated physical abuse at home.
7054,"Perth, Australia",2021-02-09,12:42:24,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
7055,"Philadelphia, USA",2022-08-21,13:32:22,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
7056,"Meerut, India",2024-01-16,12:29:23,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
7057,"Perth, Australia",2023-05-08,08:38:05,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
7058,"Jodhpur, India",2022-09-27,20:05:35,counterfeiting,non-victim,Fake currency notes were found in a local shop.
7059,"Nagoya, Japan",2020-11-15,10:39:21,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
7060,"Madurai, India",2021-07-04,02:39:06,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
7061,"Agra, India",2023-04-01,22:36:20,robbery,victim,The victim was attacked and had their wallet taken by force.
7062,"Kanpur, India",2022-03-06,05:27:35,shoplifting,victim,The victim’s business suffered repeated theft incidents.
7063,"Tokyo, Japan",2024-12-27,21:23:03,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
7064,"Kanpur, India",2024-03-12,09:25:38,counterfeiting,non-victim,Fake currency notes were found in a local shop.
7065,"Pune, India",2023-03-13,12:28:23,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
7066,"Bangalore, India",2022-12-28,11:40:07,drug_offense,victim,A suspect was caught selling illegal substances in the area.
7067,"Vijayawada, India",2023-05-01,14:39:17,homicide,non-victim,A suspect was arrested in connection with a murder case.
7068,"Sydney, Australia",2020-01-29,10:43:18,kidnapping,non-victim,The victim was forcefully taken and held for ransom.
7069,"Agra, India",2024-02-02,07:01:30,traffic_violation,non-victim,A suspect was fined for reckless driving.
7070,"Mumbai, India",2023-01-03,01:24:53,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
7071,"Pimpri-Chinchwad, India",2021-08-18,22:08:07,shoplifting,non-victim,Store security apprehended an individual for shoplifting.
7072,"Lille, France",2021-04-23,15:01:05,shoplifting,victim,A suspect was caught stealing items from a retail store.
7073,"Thane, India",2020-06-20,23:06:56,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
7074,"Cardiff, UK",2020-05-14,12:18:33,vandalism,victim,Public property was defaced with graffiti and damage.
7075,"Amritsar, India",2022-01-22,11:39:03,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
7076,"Gwalior, India",2022-09-02,07:30:59,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
7077,"Paris, France",2021-06-30,01:17:24,shoplifting,victim,The victim’s business suffered repeated theft incidents.
7078,"Los Angeles, USA",2022-09-11,19:05:03,cybercrime,victim,Personal data was stolen through an online scam.
7079,"Paris, France",2020-03-11,09:16:42,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
7080,"Thane, India",2021-10-24,00:46:50,counterfeiting,victim,A large batch of fake identification documents was seized.
7081,"Hubli-Dharwad, India",2022-05-28,05:02:11,sexual_assault,non-victim,The victim was harassed in a public place by an unknown person.
7082,"Guwahati, India",2021-01-23,05:53:57,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
7083,"Surat, India",2023-11-13,03:31:39,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
7084,"Hyderabad, India",2021-10-20,06:30:04,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
7085,"Bristol, UK",2024-08-15,21:27:48,extortion,non-victim,The victim was coerced into handing over valuable property.
7086,"Varanasi, India",2020-08-06,16:28:33,traffic_violation,victim,A suspect was fined for reckless driving.
7087,"Varanasi, India",2023-04-17,05:12:50,fraud,non-victim,The victim was scammed into transferring money to a fake account.
7088,"Hyderabad, India",2022-10-07,01:55:18,assault,victim,The victim was physically attacked in a public area.
7089,"Allahabad, India",2023-08-10,14:50:21,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
7090,"Vijayawada, India",2020-04-01,07:07:03,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
7091,"Saitama, Japan",2024-11-26,07:47:34,extortion,victim,The victim was coerced into handing over valuable property.
7092,"Guwahati, India",2022-06-30,00:13:54,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
7093,"San Diego, USA",2020-04-01,18:18:01,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
7094,"Lucknow, India",2021-12-19,22:08:55,counterfeiting,victim,Fake currency notes were found in a local shop.
7095,"Nagpur, India",2023-03-17,14:36:07,domestic_violence,victim,The victim reported repeated physical abuse at home.
7096,"Gold Coast, Australia",2020-03-26,18:52:46,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
7097,"Bordeaux, France",2024-06-07,15:58:23,homicide,victim,A suspect was arrested in connection with a murder case.
7098,"Bristol, UK",2023-09-02,06:47:19,arson,non-victim,The victim’s property was intentionally burned down.
7099,"London, UK",2023-06-17,04:20:44,vehicle_stolen,victim,Authorities recovered a stolen vehicle from a hidden location.
7100,"Vijayawada, India",2020-06-27,22:15:14,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
7101,"Ludhiana, India",2024-03-12,03:43:12,extortion,victim,The victim received threats demanding money for safety.
7102,"Perth, Australia",2022-05-04,05:51:40,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
7103,"Vadodara, India",2020-07-20,16:02:39,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
7104,"Howrah, India",2023-09-03,03:13:39,domestic_violence,victim,The victim reported repeated physical abuse at home.
7105,"London, UK",2020-07-26,08:03:44,homicide,victim,The victim was fatally attacked by an unknown suspect.
7106,"Dallas, USA",2024-05-21,03:32:49,vandalism,non-victim,Public property was defaced with graffiti and damage.
7107,"Edinburgh, UK",2024-11-08,02:14:54,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
7108,"Hyderabad, India",2024-03-11,15:52:46,arson,victim,"A building was deliberately set on fire, causing significant damage."
7109,"Thane, India",2023-05-31,04:32:39,robbery,victim,A suspect threatened the victim and stole their belongings.
7110,"Ghaziabad, India",2022-06-01,16:05:13,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
7111,"Saitama, Japan",2022-10-23,17:44:44,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
7112,"Navi Mumbai, India",2022-06-25,22:12:49,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
7113,"Sydney, Australia",2020-05-19,10:11:49,kidnapping,victim,A child was abducted near a school by an unknown suspect.
7114,"Sapporo, Japan",2022-03-09,00:08:50,kidnapping,non-victim,The victim was forcefully taken and held for ransom.
7115,"Aurangabad, India",2022-05-05,03:44:54,extortion,victim,A suspect blackmailed a businessman for protection fees.
7116,"Solapur, India",2023-10-27,22:42:17,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
7117,"Coimbatore, India",2021-02-26,05:31:46,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
7118,"Dallas, USA",2022-06-29,07:48:32,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
7119,"Wollongong, Australia",2021-11-05,14:59:05,robbery,victim,The victim was attacked and had their wallet taken by force.
7120,"Liverpool, UK",2022-03-29,09:15:39,drug_offense,non-victim,A suspect was caught selling illegal substances in the area.
7121,"Glasgow, UK",2020-11-02,10:42:47,burglary,victim,A suspect broke into the victim's house and stole valuables.
7122,"Madurai, India",2021-01-22,22:02:34,shoplifting,victim,A suspect was caught stealing items from a retail store.
7123,"San Jose, USA",2024-12-30,12:07:03,traffic_violation,victim,"An individual ran a red light, causing a near accident."
7124,"Pune, India",2024-08-24,22:52:39,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
7125,"Ludhiana, India",2022-05-24,05:20:15,counterfeiting,non-victim,Fake currency notes were found in a local shop.
7126,"Logan City, Australia",2021-02-22,05:43:39,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
7127,"Phoenix, USA",2020-11-09,09:39:57,shoplifting,victim,The victim’s business suffered repeated theft incidents.
7128,"Kobe, Japan",2022-01-12,09:22:19,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
7129,"Jaipur, India",2023-09-24,15:26:38,counterfeiting,victim,A large batch of fake identification documents was seized.
7130,"Bordeaux, France",2022-08-21,05:05:05,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
7131,"Ranchi, India",2022-08-10,06:39:53,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
7132,"Bristol, UK",2024-05-10,15:44:26,shoplifting,victim,Store security apprehended an individual for shoplifting.
7133,"Ghaziabad, India",2024-05-20,08:17:21,public_intoxication,victim,A disorderly individual was escorted away by authorities.
7134,"Amritsar, India",2022-03-14,01:44:35,cybercrime,non-victim,The victim’s social media account was hacked and misused.
7135,"Kolkata, India",2022-08-14,18:29:06,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
7136,"Toulouse, France",2022-05-28,11:17:55,cybercrime,non-victim,Personal data was stolen through an online scam.
7137,"Kolkata, India",2023-07-11,03:07:37,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
7138,"Liverpool, UK",2023-08-22,09:48:10,vehicle_stolen,victim,Authorities recovered a stolen vehicle from a hidden location.
7139,"Coimbatore, India",2021-01-31,09:43:26,identity_theft,victim,An individual’s identity was stolen for online fraud.
7140,"Indore, India",2022-11-07,21:26:30,fraud,non-victim,A business reported fraudulent transactions in their records.
7141,"Kawasaki, Japan",2024-08-08,15:36:31,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
7142,"Phoenix, USA",2023-07-24,01:09:31,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
7143,"London, UK",2021-12-18,00:46:35,arson,victim,"A building was deliberately set on fire, causing significant damage."
7144,"Logan City, Australia",2022-09-11,03:21:07,arson,non-victim,The victim’s property was intentionally burned down.
7145,"Nice, France",2023-07-03,04:52:52,assault,victim,The victim was physically attacked in a public area.
7146,"San Antonio, USA",2023-07-01,21:43:23,domestic_violence,non-victim,The victim reported repeated physical abuse at home.
7147,"Fukuoka, Japan",2022-01-22,02:48:52,counterfeiting,non-victim,Fake currency notes were found in a local shop.
7148,"Canberra, Australia",2022-12-07,15:36:26,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
7149,"Kyoto, Japan",2024-10-18,04:21:09,identity_theft,victim,An individual’s identity was stolen for online fraud.
7150,"Patna, India",2023-11-06,10:36:32,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
7151,"Kanpur, India",2024-01-29,15:35:42,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
7152,"Nice, France",2020-01-24,11:08:29,robbery,non-victim,A suspect threatened the victim and stole their belongings.
7153,"Kawasaki, Japan",2023-07-30,11:13:08,extortion,non-victim,The victim was coerced into handing over valuable property.
7154,"Visakhapatnam, India",2023-09-14,09:45:08,assault,victim,A suspect punched and kicked the victim during an altercation.
7155,"Canberra, Australia",2024-02-12,20:49:04,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
7156,"Nantes, France",2020-02-20,04:37:47,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
7157,"Kanpur, India",2021-10-05,11:49:42,shoplifting,victim,The victim’s business suffered repeated theft incidents.
7158,"Bristol, UK",2022-06-29,13:10:13,robbery,non-victim,A store was robbed at gunpoint late at night.
7159,"Aurangabad, India",2025-01-27,09:51:04,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
7160,"Pimpri-Chinchwad, India",2023-09-24,08:15:05,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
7161,"Coimbatore, India",2024-07-15,10:21:49,domestic_violence,victim,The victim reported repeated physical abuse at home.
7162,"Perth, Australia",2021-08-10,03:31:13,shoplifting,victim,The victim’s business suffered repeated theft incidents.
7163,"Liverpool, UK",2024-02-06,04:12:26,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
7164,"San Diego, USA",2020-07-21,02:02:54,kidnapping,victim,The victim was forcefully taken and held for ransom.
7165,"Faridabad, India",2022-09-13,17:41:58,robbery,non-victim,The victim was attacked and had their wallet taken by force.
7166,"Lyon, France",2022-05-18,01:44:43,traffic_violation,victim,A suspect was fined for reckless driving.
7167,"Dallas, USA",2024-10-08,13:03:38,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
7168,"Faridabad, India",2022-10-06,10:32:51,domestic_violence,victim,The victim suffered emotional and physical abuse over months.
7169,"Paris, France",2020-07-21,14:21:55,assault,victim,The victim was physically attacked in a public area.
7170,"Chennai, India",2022-08-13,23:41:06,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
7171,"Bristol, UK",2021-06-23,00:56:33,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
7172,"Vadodara, India",2024-04-07,21:27:17,shoplifting,non-victim,Store security apprehended an individual for shoplifting.
7173,"Nagpur, India",2021-07-05,15:26:28,public_intoxication,victim,An intoxicated person caused a disturbance in a public place.
7174,"Jabalpur, India",2023-08-16,16:43:20,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
7175,"Kyoto, Japan",2020-06-15,10:00:26,cybercrime,victim,The victim’s social media account was hacked and misused.
7176,"London, UK",2021-01-15,11:46:21,fraud,non-victim,A business reported fraudulent transactions in their records.
7177,"Ahmedabad, India",2022-03-15,00:35:43,assault,victim,A suspect punched and kicked the victim during an altercation.
7178,"Tokyo, Japan",2023-03-02,13:19:46,robbery,non-victim,The victim was attacked and had their wallet taken by force.
7179,"Allahabad, India",2024-04-03,08:05:13,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
7180,"Varanasi, India",2023-10-06,00:39:09,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
7181,"Kobe, Japan",2025-01-05,23:33:30,arson,victim,"A building was deliberately set on fire, causing significant damage."
7182,"Jaipur, India",2020-03-28,17:45:22,arson,victim,"A building was deliberately set on fire, causing significant damage."
7183,"Jaipur, India",2025-01-30,19:35:59,extortion,non-victim,A suspect blackmailed a businessman for protection fees.
7184,"Dhanbad, India",2023-10-16,17:47:44,homicide,non-victim,A suspect was arrested in connection with a murder case.
7185,"Gold Coast, Australia",2022-02-04,09:46:28,assault,victim,A suspect punched and kicked the victim during an altercation.
7186,"Birmingham, UK",2020-02-20,09:37:38,extortion,victim,The victim received threats demanding money for safety.
7187,"Los Angeles, USA",2022-12-13,14:42:07,robbery,victim,A store was robbed at gunpoint late at night.
7188,"Faridabad, India",2023-12-12,18:02:19,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
7189,"Vadodara, India",2024-04-07,18:19:36,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
7190,"Bangalore, India",2022-08-13,16:21:30,robbery,non-victim,The victim was attacked and had their wallet taken by force.
7191,"Navi Mumbai, India",2023-03-11,17:12:18,burglary,victim,A suspect broke into the victim's house and stole valuables.
7192,"Sheffield, UK",2021-07-22,06:21:17,cybercrime,victim,The victim’s social media account was hacked and misused.
7193,"Aurangabad, India",2023-02-22,05:48:15,drug_offense,victim,An individual was found in possession of narcotics during a search.
7194,"Rajkot, India",2020-01-11,11:16:03,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
7195,"Delhi, India",2025-01-24,16:01:47,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
7196,"Toulouse, France",2025-01-12,10:24:28,robbery,victim,The victim was attacked and had their wallet taken by force.
7197,"Lucknow, India",2022-04-18,15:02:11,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
7198,"Strasbourg, France",2022-03-03,19:45:24,drug_offense,victim,An individual was found in possession of narcotics during a search.
7199,"Kawasaki, Japan",2024-08-12,23:35:48,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
7200,"Gold Coast, Australia",2023-07-13,20:54:14,assault,victim,The victim was physically attacked in a public area.
7201,"Newcastle, Australia",2022-03-26,14:26:06,arson,victim,"A building was deliberately set on fire, causing significant damage."
7202,"Rajkot, India",2024-12-26,17:24:32,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
7203,"Sheffield, UK",2023-07-01,05:11:15,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
7204,"Kawasaki, Japan",2023-11-30,05:39:40,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
7205,"Raipur, India",2021-05-22,11:55:08,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
7206,"Ghaziabad, India",2024-03-05,16:22:19,fraud,victim,A business reported fraudulent transactions in their records.
7207,"Kolkata, India",2024-04-03,00:07:15,homicide,non-victim,A suspect was arrested in connection with a murder case.
7208,"Kota, India",2024-07-27,11:29:10,traffic_violation,non-victim,A suspect was fined for reckless driving.
7209,"Bhopal, India",2022-10-22,19:34:32,fraud,non-victim,A suspect created false documents to claim financial benefits.
7210,"New York City, USA",2020-09-15,02:24:40,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
7211,"Guwahati, India",2024-10-25,08:39:38,illegal_possession,victim,Police confiscated unauthorized materials from the suspect.
7212,"Bangalore, India",2021-04-15,05:17:55,arson,victim,An unknown suspect ignited a vehicle in a parking lot.
7213,"Nantes, France",2022-11-09,12:31:47,assault,victim,The victim sustained injuries after being assaulted by a stranger.
7214,"Perth, Australia",2024-09-09,04:55:53,drug_offense,non-victim,Police seized a large quantity of banned drugs.
7215,"Varanasi, India",2020-12-21,07:32:22,assault,non-victim,The victim was physically attacked in a public area.
7216,"Glasgow, UK",2025-01-06,13:01:20,robbery,non-victim,The victim was attacked and had their wallet taken by force.
7217,"Mumbai, India",2024-01-24,18:20:37,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
7218,"Canberra, Australia",2022-02-02,05:24:16,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
7219,"Navi Mumbai, India",2024-05-02,09:55:54,shoplifting,victim,A suspect was caught stealing items from a retail store.
7220,"Paris, France",2020-10-12,07:59:01,robbery,non-victim,A suspect threatened the victim and stole their belongings.
7221,"San Diego, USA",2021-05-22,05:44:26,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
7222,"Nashik, India",2022-02-21,02:19:28,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
7223,"Guwahati, India",2022-01-09,08:03:56,assault,victim,The victim was physically attacked in a public area.
7224,"Amritsar, India",2020-03-01,05:24:01,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
7225,"London, UK",2024-02-22,03:53:59,cybercrime,non-victim,Personal data was stolen through an online scam.
7226,"Kyoto, Japan",2023-04-03,13:34:48,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
7227,"Sapporo, Japan",2022-11-19,22:19:07,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
7228,"Allahabad, India",2023-07-09,06:34:25,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
7229,"San Diego, USA",2020-09-11,22:19:53,counterfeiting,non-victim,A large batch of fake identification documents was seized.
7230,"Nashik, India",2023-07-20,13:30:47,vandalism,non-victim,Public property was defaced with graffiti and damage.
7231,"New York City, USA",2020-06-09,21:35:29,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
7232,"Dhanbad, India",2021-09-05,18:00:38,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
7233,"Bangalore, India",2023-04-08,06:36:06,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
7234,"Coimbatore, India",2021-03-09,02:59:46,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
7235,"Ghaziabad, India",2020-07-11,04:01:12,shoplifting,victim,A suspect was caught stealing items from a retail store.
7236,"Kalyan-Dombivli, India",2023-11-12,21:18:24,fraud,victim,A suspect created false documents to claim financial benefits.
